,product_name,product_url,category,status,stars
0,Sony PlayStation PS2 Gaming Console 150 GB Hard Disk With 50 Games Preloaded(Black),https://yoshops.com/products/sony-playstation-ps2-gaming-console-150-gb-hard-disk-with-50-games-preloaded-black,Toys & Games,Reviewd,5.0
1,Vmax HX 750 Quadcopter Drone (No Camera),https://yoshops.com/products/hx-750-remote-control-flying-drone,Toys & Games,Reviewd,5.0
2,Yoshops VR BOX Virtual Reality Glasses Headset 2.0 View Suitable For 4-6 Inch Smartphones,https://yoshops.com/products/yoshops-vr-box-virtual-reality-glasses-headset-2-0-view-suitable-for-4-6-inch-smartphones,Toys & Games,Reviewd,5.0
3,Sony PlayStation PS3 Console Slim 320 GB (Black),https://yoshops.com/products/sony-playstation-3-console-slim-320-gb-black,Toys & Games,Reviewd,4.9
4,Barbie Doll (pink),https://yoshops.com/products/barbie-doll,Toys & Games,Reviewd,4.9
5,HX-713 Remote Control Helicopter,https://yoshops.com/products/hx-713-remote-control-helicopter,Toys & Games,Reviewd,4.9
6,Puppy House Coin Piggy Bank,https://yoshops.com/products/puppy-house-coin-piggy-bank,Toys & Games,Reviewd,5.0
7,The Amazing Spider Man Micro Drone Q Series Hyun Lights Upgraded Quadcopter Headless Mode One Key Features,https://yoshops.com/products/the-amazing-spider-man-q-series-24ghz-rc-quad-copter-drone,Toys & Games,Reviewd,5.0
8,Super Power JCB Truck Construction Loader Excavator Crane Toys,https://yoshops.com/products/super-power-jcb-truck-construction-loader-excavator-crane-toys1,Toys & Games,Reviewd,5.0
9,"Falcon Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera",https://yoshops.com/products/falcon-drone-four-axis-aircraft-with-2-4-ghz-rc-blade-guard-headless-mode-led-without-camera,Toys & Games,Reviewd,5.0
10,Kids Drone Quadcopter 2.4G 6-Channel Without Camera,https://yoshops.com/products/kids-drone-quadcopter-2-4g-6-channel-without-camera,Toys & Games,Reviewd,4.6
11,Sony PlayStation PS1 with in-built DVD Player (Black),https://yoshops.com/products/sony-playstation-ps2-with-in-built-dvd-player-black,Toys & Games,Reviewd,5.0
12,VMax HX763 Vision Drone 2.4GHz RC Quad-copter Headless Mode One Key Without Camera,https://yoshops.com/products/vmax-vision-hx763-drone-remote-control-quadrocopter,Toys & Games,Reviewd,5.0
13,HX770 V-Max Aircraft Drone,https://yoshops.com/products/hx770-v-max-aircraft-drone,Toys & Games,Reviewd,4.9
14,Diabolo Captain America Civil War Q Series Hyun Lights Upgraded Mini Drone Without Camera,https://yoshops.com/products/captain-america-24ghz-rc-quad-copter-drone,Toys & Games,Reviewd,5.0
